ISBN,Title,FirstDate,LastDate
1250028655,Z,4/14/2013,5/12/2013
034551548X,ICE COLD,7/18/2010,8/8/2010
1416533168,THE LOST QUILTER,4/19/2009,Not Found
081299289X,CHINA DOLLS,6/22/2014,7/13/2014
1250029945,DRAGONBANE,8/23/2015,Not Found
1599951959,BONEMAN&#39;S DAUGHTERS,5/3/2009,5/10/2009
1594631573,THE VACATIONERS,6/15/2014,8/10/2014
1439192952,THE ATHENA PROJECT,12/12/2010,Not Found
039915972X,THE NIGHT RANGER,3/3/2013,Not Found
1416537325,NO CHOICE BUT SEDUCTION,7/6/2008,7/13/2008
034546933X,EXECUTION DOCK,4/12/2009,Not Found
1476745005,MOVING TARGET,3/9/2014,3/16/2014
1451628587,LEFT FOR DEAD,2/26/2012,3/4/2012
052595399X,NO FORTUNATE SON,1/18/2015,Not Found
