date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010-05-23,0441018645,0316036277,0446562424,0399155341,0446564087,0451229851,1439172269,0778327809,0399156488,0385526350,0375424504,1400065747,0385343663,0061988243,0061160881,080211928X,0743296435,0399156445,0345471016,1439187312
2010-05-30,0441018645,0312554168,0446554960,0446562424,0316036277,0399155341,0446564087,0385343663,080211928X,0451229851,0778327809,1439172269,0061988243,0061160881,0375424504,0399156488,1400065747,0385526350,0061560855,0743296435
2010-06-06,0385340583,0399156496,0441018645,0399155341,0446562424,0312554168,0316036277,0446554960,0446564087,0385343302,0061926515,0451229851,1439172269,0385343663,080211928X,0778327809,0375424504,0061160881,0399156488,0385526350
2010-06-13,030726999X,0441018645,0385340583,0399155341,0399156496,0446562424,0312554168,0345509145,1451608217,0316036277,0446554960,0446564087,0373774591,0385343663,080211928X,0451229851,0061988243,1439172269,0375424504,0743296435
2010-06-20,030726999X,0425234339,0399156437,0399155341,0441018645,0385340583,1439156336,0399156496,0446539813,0446562424,0312554168,0316036277,1451608217,0345509145,0061930210,0446554960,0446564087,080211928X,0385501129,0373774591
2010-06-27,030726999X,044658083X,0345504968,0399155341,0399156437,0441018645,0385340583,0425234339,0399156496,0446562424,0312554168,1439156336,0316036277,0446539813,0061629758,1451608217,0446564087,0385501129,080211928X,0446554960
2010-07-04,1439184305,030726999X,044658083X,0345504968,0399156534,0399155341,055380801X,0399156437,0061961175,1400066034,0385340583,0446562424,0441018645,0446539813,0307266109,0399156496,1451608217,1439101078,0312554168,0425234339
2010-07-11,0312383304,030726999X,1439184305,0385343167,044658083X,0399155341,0345504968,0399156534,055380801X,0441018645,0061961175,0399156437,1439133611,0385341970,0385340583,0312554168,0446562424,1400066034,0446539813,1451608217
2010-07-18,0316096156,0312383304,030726999X,1439184305,0399155341,1416586598,0345504968,044658083X,0385343167,034551548X,0805087745,0399156534,0441018645,1400065453,0385501129,0312554168,0061961175,055380801X,0399156437,0446562424
2010-07-25,0399156577,030726999X,0316096156,0312383304,0399155341,1439184305,0345504968,1416586598,044658083X,0316043877,1400065453,034551548X,0385343167,0441018645,0425234355,0399156534,0385501129,0312554168,0312595670,0385340583
2010-08-01,030726999X,0743294270,0399156577,0399155341,0316096156,1439128294,0312383304,0670021873,1439184305,0553807242,0345504968,044658083X,1416586598,034551548X,0316043877,1400065453,0441018645,0385531540,0312595670,0385343167
2010-08-08,0399156585,030726999X,0399155341,0743294270,0316096156,0399156577,0312383304,1439128294,1439184305,044658083X,0345504968,0345511328,1416586598,0670021873,0553807242,1400065453,034551548X,0441018645,0312611609,0765326264
2010-08-15,030726999X,0307272583,0399156585,0399155341,0743294270,0316096156,0399156577,0312383304,1439128294,1439184305,1400066409,0061239240,0345511328,0345504968,044658083X,0525951784,0441018645,1400065453,0670021873,0385340850
2010-08-22,030726999X,1416563725,0399155341,0307272583,0399156585,0743294270,0316096156,0441018688,0399156577,0312383304,0061702560,031261456X,1400066409,1439128294,1439107971,1439184305,0441018645,044658083X,0345504968,0399156542
2010-08-29,030726999X,1416563105,0399155341,0307272583,0345506898,0399156631,1416563725,0399156585,0316096156,0743294270,0399156577,0312383304,1401323138,0399156623,1439128294,1400066409,1439184305,0061702560,0441018645,044658083X
2010-09-05,0316089516,030726999X,0399155341,0399156801,0307272583,1416563105,0743276744,1416563725,1439136610,0399156585,039915681X,0316096156,0399156631,0345506898,0743294270,0061706558,0525951776,0312383304,0441018645,0525950583
2010-09-12,030726999X,0316089516,1439102392,0399155341,0345484177,0307272583,1416563105,1416563725,0399156801,0743276744,0061706558,0399156585,1439136610,0345516109,0399156631,039915681X,0441018645,0316096156,0345504968,1439184305
2010-09-19,0374158460,030726999X,0425236595,0399156763,0316089516,0399155341,0765326353,1439102392,0399156747,0307272583,0399156801,1416563725,1416563105,0345484177,0061706558,0312303785,1439136610,0743276744,0399156585,0441018645
2010-09-26,0374158460,030726999X,0312546564,0670022047,0399155341,0316089516,0399156763,0385523211,0399156828,0425236595,0765326353,0451463528,1439102392,0307272583,0399156801,1416563725,0385532350,1416563105,0399156747,0345484177
2010-10-03,044654759X,0374158460,0312652917,030726999X,0399155341,0670022047,0316089516,0312546564,006185929X,0316098337,0399156763,1414334095,0385523211,0312593317,0399156828,1439102392,0425236595,0385532350,1416563105,0765326353
2010-10-10,0374158460,044654759X,030726999X,0399156909,0385342047,0312652917,0399155341,0061558222,0316098337,0399156917,0670022047,0316089516,006185929X,0399156763,0385523211,0312546564,0399156828,0061782424,1414334095,0312593317
2010-10-17,0525951652,0316036234,0374158460,044654759X,0316038393,030726999X,1401324029,0385343132,0399156909,0399155341,0312652917,0316098337,0670022047,0778328198,0385342047,0399156917,006196963X,0061558222,0316089516,0765324121
2010-10-24,0316069485,0525951652,0374158460,030726999X,044654759X,0316038393,0316036234,0399156852,1439150036,0399155341,0399156909,0385343132,0786955007,0670022047,0316098337,1401324029,0312652917,0778328198,0399156755,0385342047
2010-10-31,141659518X,0525951652,030726999X,0316069485,044654759X,0374158460,0670022241,0316038393,0316036234,0399155341,0399156852,0316098337,0399156909,1439150036,0670022047,0547318359,0385343132,1401324029,0786955007,0312652917
2010-11-07,0385344317,0670022128,141659518X,030726999X,0525951652,044654759X,0316069485,141431163X,0316038393,0374158460,0316036234,0399155341,0312651198,0670022241,039915678X,0525951849,1401324029,0399156852,0316098337,1439133948
2010-11-14,0385528043,0385344317,141659518X,030726999X,045146365X,0670022128,0525951652,044654759X,0374158460,0316069485,0316038393,0399155341,0316036234,0670022241,0316098337,141431163X,1416550747,0312605862,1401324029,0525951849
